date,open,high,low,close,volume
2024-11-07,136.25,138.25,135.8,136.6,1632512
2024-11-08,135.44,137.54,135.19,135.96,1498349
2024-11-11,134.75,136.31,133.03,136.04,1652159
2024-11-12,140.53,142.15,139.93,140.66,2266011
2024-11-13,140.05,142.99,138.93,141.52,1903696
2024-11-14,140.14,140.28,139.73,139.81,2976472
2024-11-15,139.0,139.17,138.98,138.98,1941294
2024-11-18,139.18,139.32,138.13,139.07,2304492
2024-11-19,139.65,143.29,139.29,140.42,1172180
2024-11-20,139.99,141.76,138.88,139.33,1869109
2024-11-21,138.31,139.8,138.2,138.65,2864164
2024-11-22,138.71,139.01,138.63,138.74,2408996
2024-11-25,139.01,139.11,138.93,139.04,2362709
2024-11-26,142.33,143.57,142.32,142.64,1458579
2024-11-27,141.31,142.19,140.62,141.59,2233545
2024-11-28,141.88,142.68,140.17,140.71,1964985
2024-11-29,141.37,142.38,141.28,141.62,1694197
2024-12-02,142.51,143.04,141.15,141.78,2115824
2024-12-03,145.51,146.85,143.59,145.45,2339690
2024-12-04,145.9,147.7,144.01,147.5,2009395
2024-12-05,150.33,150.99,148.09,150.19,1619857
2024-12-06,150.74,152.52,150.73,151.8,2017071
2024-12-09,149.88,150.42,149.8,150.38,1718918
2024-12-10,148.14,148.39,146.85,146.88,2434786
2024-12-11,149.06,150.56,148.72,148.88,2783895
2024-12-12,152.22,153.07,151.15,153.0,2210383
2024-12-13,150.92,151.71,150.26,150.47,1292768
2024-12-16,150.11,151.59,148.77,150.16,2410960
2024-12-17,151.02,151.02,150.04,150.18,2061509
2024-12-18,148.89,149.63,148.38,148.99,1198135
2024-12-19,149.15,149.18,149.13,149.15,2171777
2024-12-20,151.13,151.25,150.41,150.76,1512233
2024-12-23,152.82,153.45,152.74,152.79,1945575
2024-12-24,151.1,152.67,148.36,150.18,1893283
2024-12-25,152.53,152.71,151.05,151.83,2218686
2024-12-26,150.55,153.35,150.27,151.5,2513979
2024-12-27,148.0,148.03,147.49,147.83,1492353
2024-12-30,149.17,151.13,148.96,150.23,1435467
2024-12-31,148.23,150.9,147.83,149.84,2226137
2025-01-01,147.96,148.2,147.47,148.17,1569355
2025-01-02,143.81,145.65,143.58,143.77,1847345
2025-01-03,144.33,145.08,144.23,144.68,1833309
2025-01-06,145.29,145.38,145.24,145.28,2380587
2025-01-07,146.33,146.75,146.12,146.47,1642667
2025-01-08,146.23,148.66,145.13,145.73,1860671
2025-01-09,146.92,147.22,146.52,146.7,2139620
2025-01-10,145.82,147.07,145.06,145.61,1378564
2025-01-13,143.23,144.4,142.94,143.08,3290145
2025-01-14,143.35,145.52,142.52,142.98,1973393
2025-01-15,142.81,144.39,142.65,144.14,1641180
2025-01-16,141.49,141.8,140.56,141.19,2420520
2025-01-17,144.11,144.7,143.25,143.99,2154527
2025-01-20,144.89,145.62,144.29,144.68,2036943
2025-01-21,147.64,148.0,146.91,147.14,1583805
2025-01-22,144.88,147.49,144.4,147.06,2453435
2025-01-23,142.9,143.21,141.95,143.14,1714048
2025-01-24,143.3,145.29,142.12,144.05,2395336
2025-01-27,145.23,145.79,142.81,144.69,2021954
2025-01-28,141.48,143.22,140.49,141.44,1399590
2025-01-29,140.79,143.85,140.31,141.12,503146
2025-01-30,138.07,138.66,136.41,136.93,2198313
2025-01-31,138.24,139.52,138.22,139.17,2018783
2025-02-03,136.74,137.93,135.75,137.02,2023230
2025-02-04,137.71,139.56,137.25,138.36,646217
2025-02-05,137.54,139.28,136.38,137.48,1593915
2025-02-06,136.56,138.21,136.32,138.19,1294598
2025-02-07,136.3,138.99,134.71,137.37,1857744
2025-02-10,133.04,133.4,132.27,132.55,2360319
2025-02-11,133.5,134.57,130.45,133.89,2856152
2025-02-12,133.59,135.33,133.11,133.59,1526508
2025-02-13,135.23,136.65,135.14,135.81,2419007
2025-02-14,133.63,134.77,132.22,134.71,1060509
2025-02-17,135.73,135.78,135.71,135.78,2090248
2025-02-18,136.01,136.05,135.57,135.58,1796205
2025-02-19,137.33,138.27,136.55,137.49,2423385
2025-02-20,136.87,137.49,136.13,137.42,1636273
2025-02-21,134.32,134.58,133.61,134.29,2264317
2025-02-24,134.85,136.24,133.69,134.51,2245637
2025-02-25,133.89,136.82,132.2,134.44,2474631
2025-02-26,135.19,136.59,135.04,135.85,1960623
2025-02-27,134.92,135.78,134.61,135.03,831965
2025-02-28,135.21,136.5,134.82,135.77,1949296
2025-03-03,132.98,133.95,130.97,132.75,2125746
2025-03-04,133.13,133.52,131.91,133.49,1768541
2025-03-05,134.73,136.06,133.43,135.09,1669926
2025-03-06,134.01,134.3,132.36,134.11,2797460
2025-03-07,135.05,135.39,134.36,134.92,1336561
2025-03-10,134.23,134.49,133.42,133.42,2080895
2025-03-11,134.47,134.88,133.88,133.91,2741416
2025-03-12,133.03,134.0,132.68,132.9,1248422
2025-03-13,131.08,131.62,131.06,131.32,2219921
2025-03-14,128.27,129.14,126.76,127.97,2047340
2025-03-17,125.4,125.47,124.43,124.86,2779147
2025-03-18,126.55,127.18,125.07,126.73,989971
2025-03-19,127.24,128.81,127.23,128.42,1844146
2025-03-20,126.89,127.17,125.28,126.52,1699051
2025-03-21,127.45,127.65,125.49,127.22,1540691
2025-03-24,123.5,124.83,122.94,123.76,1416249
2025-03-25,123.42,125.84,123.29,123.45,1836337
2025-03-26,121.41,122.32,120.86,121.63,2251287
2025-03-27,118.94,119.8,118.73,119.19,2240983
2025-03-28,118.31,119.3,117.18,117.42,1960301
2025-03-31,121.06,121.43,119.98,120.14,1696095
2025-04-01,121.28,122.23,119.87,122.22,1738120
2025-04-02,122.99,123.36,121.73,123.23,2184526
2025-04-03,121.08,121.6,121.03,121.28,2037136
2025-04-04,119.59,120.78,118.2,119.84,1445617
2025-04-07,119.8,121.72,119.37,121.4,2350486
2025-04-08,121.0,121.98,120.63,121.38,1454476
2025-04-09,116.3,116.61,114.89,116.05,1437917
2025-04-10,119.51,120.65,119.39,119.61,2353895
2025-04-11,117.84,118.05,117.35,117.9,2352574
2025-04-14,119.8,119.87,117.93,118.69,2331153
2025-04-15,120.5,120.6,120.41,120.43,2040159
2025-04-16,120.56,121.01,118.12,119.44,1728600
2025-04-17,116.12,116.52,113.74,114.48,1564204
2025-04-18,115.17,115.63,115.17,115.42,2151481
2025-04-21,113.58,115.26,112.97,114.8,2961112
2025-04-22,112.45,112.96,110.73,111.81,1545966
2025-04-23,116.14,117.43,115.83,116.82,2399943
2025-04-24,117.26,117.87,116.47,116.64,2086961
2025-04-25,118.89,118.91,118.49,118.84,2839391
2025-04-28,119.77,120.34,117.99,119.77,2379423
2025-04-29,120.37,121.07,118.81,119.3,1456260
2025-04-30,118.02,118.03,115.43,117.43,2615322
2025-05-01,120.99,121.51,120.54,120.71,1963826
2025-05-02,120.71,120.86,120.04,120.81,1913686
2025-05-05,120.56,121.09,119.83,120.92,2667556
2025-05-06,116.45,116.56,115.29,115.46,1638463
2025-05-07,122.72,123.37,121.68,122.49,1963761
2025-05-08,122.13,122.79,119.37,121.62,1618446
2025-05-09,122.57,123.04,121.27,121.58,2051407
2025-05-12,122.46,123.56,120.58,122.28,3472623
2025-05-13,121.77,122.57,121.23,121.31,1866893
2025-05-14,122.5,124.06,119.66,121.71,2428024
2025-05-15,122.34,123.19,121.36,121.84,2588172
2025-05-16,122.48,123.34,120.15,122.04,1955332
2025-05-19,122.65,123.31,120.84,122.82,2073107
2025-05-20,121.03,121.79,119.97,120.18,1613681
2025-05-21,119.2,119.41,119.01,119.02,1405807
2025-05-22,123.11,124.34,122.85,123.67,2134083
2025-05-23,124.93,126.37,122.46,124.16,1764575
2025-05-26,125.4,126.32,125.23,126.12,2303397
2025-05-27,123.15,124.85,122.75,123.67,1693724
2025-05-28,120.75,122.31,119.39,120.21,2800996
2025-05-29,121.92,123.45,121.51,121.89,1681871
2025-05-30,121.02,121.79,120.75,121.1,1961389
2025-06-02,122.12,122.6,121.11,121.54,1659545
2025-06-03,120.91,122.16,120.24,120.37,2948444
2025-06-04,120.78,121.31,119.77,120.2,1345006
2025-06-05,119.13,120.03,116.93,118.02,2208723
2025-06-06,116.8,117.09,116.05,116.84,2411678
2025-06-09,112.63,113.12,111.49,112.09,2137234
2025-06-10,112.31,115.23,111.87,113.94,1964207
2025-06-11,114.37,114.55,113.77,114.04,2335343
2025-06-12,111.98,113.55,111.61,111.84,2286086
2025-06-13,114.52,115.09,114.06,114.53,1836183
2025-06-16,113.89,114.81,112.78,113.44,2425018
2025-06-17,116.58,116.64,115.8,116.46,1322229
2025-06-18,117.79,118.19,114.95,118.16,1901322
2025-06-19,118.96,119.65,118.37,118.86,2023468
2025-06-20,117.07,117.25,115.22,116.25,2484249
2025-06-23,116.93,117.52,116.03,116.28,1156561
2025-06-24,115.95,116.65,115.06,115.86,2334942
2025-06-25,115.74,115.97,115.09,115.61,1523569
2025-06-26,115.66,115.73,115.45,115.73,1087192
2025-06-27,117.33,118.26,117.24,117.53,3187233
2025-06-30,117.31,117.74,116.83,117.1,1961906
2025-07-01,119.48,121.17,118.82,119.96,1951189
2025-07-02,123.52,126.16,121.92,124.12,1612310
2025-07-03,122.17,122.36,120.02,120.63,1917287
2025-07-04,123.31,123.91,122.4,123.68,2344970
2025-07-07,123.68,124.5,120.96,122.58,2051914
2025-07-08,126.31,127.31,125.31,127.03,1066775
2025-07-09,128.49,129.35,128.2,128.52,2301958
2025-07-10,129.94,130.12,129.29,129.56,2086533
2025-07-11,129.89,130.1,128.75,129.99,1229621
2025-07-14,126.89,127.93,126.5,127.82,1696239
2025-07-15,125.2,125.3,124.91,125.16,1863433
2025-07-16,126.79,128.64,124.86,128.34,2163796
2025-07-17,127.39,127.69,127.02,127.07,1893640
2025-07-18,127.73,128.54,127.38,128.18,1676581
2025-07-21,128.22,129.95,127.2,128.25,2981034
2025-07-22,129.36,130.79,128.97,130.06,1944817
2025-07-23,129.41,131.1,128.75,130.22,1735003
2025-07-24,131.2,131.8,130.15,131.72,1845926
2025-07-25,125.74,125.8,123.9,124.39,3092115
2025-07-28,124.57,124.76,124.26,124.58,1855670
2025-07-29,123.74,124.24,121.91,122.49,2383754
2025-07-30,123.92,125.18,123.54,123.66,2077623
2025-07-31,123.53,125.18,123.26,124.31,1797248
2025-08-01,124.11,126.24,123.82,124.7,1932901
2025-08-04,123.53,124.8,122.26,122.6,1932063
2025-08-05,125.4,127.02,125.39,126.64,2468076
2025-08-06,124.3,124.45,122.99,124.13,1282709
2025-08-07,122.0,122.65,120.89,121.96,2372928
2025-08-08,122.36,123.75,121.75,123.13,1491025
2025-08-11,120.95,122.13,120.79,121.31,2585096
2025-08-12,119.2,119.73,117.37,117.81,2276062
2025-08-13,120.04,120.18,119.61,120.02,2419088
2025-08-14,122.63,122.7,122.05,122.54,3053470
2025-08-15,125.8,125.91,125.8,125.81,1737570
2025-08-18,124.61,125.28,123.69,124.12,2326684
2025-08-19,125.45,127.05,124.55,124.74,2010250
2025-08-20,128.37,129.03,128.04,128.46,2544046
2025-08-21,126.84,128.68,126.0,128.06,2162182
2025-08-22,128.17,129.05,127.14,128.04,1637733
